start,end,avg_speed
2018-08-17T02:45:00.000Z,2018-08-17T02:50:00.000Z,111.45
2018-08-17T16:05:00.000Z,2018-08-17T16:10:00.000Z,0.0
2018-08-14T10:10:00.000Z,2018-08-14T10:15:00.000Z,0.0
2018-08-16T10:15:00.000Z,2018-08-16T10:20:00.000Z,97.65
2018-08-16T11:10:00.000Z,2018-08-16T11:15:00.000Z,4.33
2018-08-17T02:10:00.000Z,2018-08-17T02:15:00.000Z,149.71
2018-08-16T01:00:00.000Z,2018-08-16T01:05:00.000Z,10.82
2018-08-13T21:00:00.000Z,2018-08-13T21:05:00.000Z,0.0
2018-08-17T02:00:00.000Z,2018-08-17T02:05:00.000Z,0.0
2018-08-17T05:35:00.000Z,2018-08-17T05:40:00.000Z,12.74
2018-08-14T20:50:00.000Z,2018-08-14T20:55:00.000Z,83.96
2018-08-14T05:35:00.000Z,2018-08-14T05:40:00.000Z,0.0
2018-08-14T06:00:00.000Z,2018-08-14T06:05:00.000Z,0.0
2018-08-14T08:15:00.000Z,2018-08-14T08:20:00.000Z,0.0
2018-08-17T17:45:00.000Z,2018-08-17T17:50:00.000Z,0.0
2018-08-14T04:15:00.000Z,2018-08-14T04:20:00.000Z,0.0
2018-08-14T04:55:00.000Z,2018-08-14T05:00:00.000Z,0.0
2018-08-16T05:45:00.000Z,2018-08-16T05:50:00.000Z,0.0
2018-08-16T19:00:00.000Z,2018-08-16T19:05:00.000Z,0.0
2018-08-14T08:25:00.000Z,2018-08-14T08:30:00.000Z,0.0
2018-08-14T08:50:00.000Z,2018-08-14T08:55:00.000Z,0.0
2018-08-14T03:50:00.000Z,2018-08-14T03:55:00.000Z,0.0
2018-08-17T15:30:00.000Z,2018-08-17T15:35:00.000Z,0.0
2018-08-14T20:25:00.000Z,2018-08-14T20:30:00.000Z,0.0
2018-08-16T06:55:00.000Z,2018-08-16T07:00:00.000Z,0.23
2018-08-17T08:05:00.000Z,2018-08-17T08:10:00.000Z,114.11
2018-08-16T10:50:00.000Z,2018-08-16T10:55:00.000Z,0.0
2018-08-16T19:10:00.000Z,2018-08-16T19:15:00.000Z,51.27
2018-08-14T09:00:00.000Z,2018-08-14T09:05:00.000Z,0.0
2018-08-16T18:35:00.000Z,2018-08-16T18:40:00.000Z,59.3
2018-08-17T07:20:00.000Z,2018-08-17T07:25:00.000Z,0.0
2018-08-17T09:55:00.000Z,2018-08-17T10:00:00.000Z,22.67
2018-08-16T19:30:00.000Z,2018-08-16T19:35:00.000Z,6.68
2018-08-17T11:15:00.000Z,2018-08-17T11:20:00.000Z,49.04
2018-08-17T17:25:00.000Z,2018-08-17T17:30:00.000Z,110.51
2018-08-14T02:50:00.000Z,2018-08-14T02:55:00.000Z,0.0
2018-08-14T05:20:00.000Z,2018-08-14T05:25:00.000Z,0.0
2018-08-14T20:45:00.000Z,2018-08-14T20:50:00.000Z,75.63
2018-08-16T08:55:00.000Z,2018-08-16T09:00:00.000Z,49.09
2018-08-16T15:20:00.000Z,2018-08-16T15:25:00.000Z,6.47
2018-08-16T16:25:00.000Z,2018-08-16T16:30:00.000Z,0.0
